Date,Open,High,Low,Close,Adj Close,Volume
2019-09-30,20.820000,21.120001,20.420000,20.440001,20.138224,70400
2019-10-01,20.680000,21.049999,20.500000,20.620001,20.315565,112900
2019-10-02,20.469999,20.959999,20.410000,20.920000,20.611137,96700
2019-10-03,20.910000,21.080000,20.520000,20.750000,20.443647,112300
2019-10-04,20.680000,20.830000,20.430000,20.610001,20.305716,94800
2019-10-07,20.540001,20.990000,20.500000,20.620001,20.315565,165700
2019-10-08,20.540001,21.320000,20.510000,20.969999,20.660398,226200
2019-10-09,20.969999,21.530001,20.700001,20.860001,20.552023,64200
2019-10-10,20.950001,21.480000,20.900000,21.309999,20.995378,109700
2019-10-11,21.500000,21.740000,21.270000,21.299999,20.985527,82600
2019-10-14,21.090000,21.420000,21.080000,21.330000,21.015085,66000
2019-10-15,21.389999,21.610001,21.360001,21.490000,21.172720,116300
2019-10-16,21.420000,21.490000,21.070000,21.080000,20.768774,74400
2019-10-17,21.209999,21.639999,21.100000,21.490000,21.172720,115200
2019-10-18,21.389999,21.610001,21.389999,21.469999,21.153017,85700
2019-10-21,21.610001,21.940001,21.610001,21.680000,21.359917,79900
2019-10-22,21.629999,21.790001,21.379999,21.389999,21.074198,39100
2019-10-23,21.400000,21.530001,21.370001,21.459999,21.143164,67100
2019-10-24,21.600000,21.639999,21.400000,21.600000,21.281097,74300
2019-10-25,21.590000,22.129999,21.540001,22.000000,21.675194,114900
2019-10-28,22.020000,22.930000,22.020000,22.780001,22.443674,173400
2019-10-29,22.900000,26.700001,22.600000,26.559999,26.167868,555000
2019-10-30,26.600000,26.809999,25.629999,26.160000,25.773775,181000
2019-10-31,26.129999,26.270000,25.540001,25.760000,25.379679,122700
2019-11-01,25.760000,26.840000,25.690001,26.299999,25.911707,86900
2019-11-04,26.200001,26.250000,25.430000,25.629999,25.251598,60100
2019-11-05,25.809999,26.129999,25.549999,25.590000,25.212189,65300
2019-11-06,25.490000,25.770000,24.969999,25.040001,24.670309,80300
2019-11-07,24.990000,25.469999,24.680000,25.420000,25.119938,105800
2019-11-08,25.379999,25.500000,24.799999,24.870001,24.576431,44600
2019-11-11,24.660000,24.980000,24.230000,24.299999,24.013159,62200
2019-11-12,24.330000,24.790001,24.270000,24.709999,24.418318,59400
2019-11-13,24.620001,24.660000,24.270000,24.400000,24.111979,35400
2019-11-14,24.450001,24.750000,24.280001,24.500000,24.210796,63000
2019-11-15,24.650000,24.650000,24.209999,24.309999,24.023039,46900
2019-11-18,24.299999,24.420000,24.139999,24.370001,24.082333,48900
2019-11-19,24.200001,24.350000,24.120001,24.129999,23.845163,107100
2019-11-20,24.059999,24.330000,24.000000,24.200001,23.914339,125200
2019-11-21,24.309999,24.350000,23.950001,23.990000,23.706818,36000
2019-11-22,24.059999,24.059999,23.670000,23.680000,23.400476,46800
2019-11-25,23.860001,24.340000,23.709999,24.040001,23.756229,57100
2019-11-26,24.020000,24.209999,23.860001,24.049999,23.766109,81700
2019-11-27,24.049999,24.250000,23.730000,23.750000,23.469652,94700
2019-11-29,23.680000,24.260000,23.680000,24.049999,23.766109,51700
2019-12-02,24.080000,24.420000,23.889999,24.350000,24.062569,78600
2019-12-03,24.650000,25.690001,24.530001,25.400000,25.100174,218900
2019-12-04,25.680000,26.889999,25.530001,26.490000,26.177307,220600
2019-12-05,26.639999,26.660000,25.889999,26.330000,26.019194,135400
2019-12-06,26.500000,26.709999,25.940001,26.059999,25.752382,227900
2019-12-09,26.150000,27.139999,26.150000,27.000000,26.681286,152800
2019-12-10,27.049999,27.530001,26.540001,27.080000,26.760342,117000
2019-12-11,27.200001,27.650000,26.980000,27.480000,27.155622,96200
2019-12-12,27.410000,27.799999,27.340000,27.620001,27.293970,81600
2019-12-13,28.070000,28.280001,27.709999,28.260000,27.926414,99400
2019-12-16,28.389999,28.500000,27.500000,27.719999,27.392788,139700
2019-12-17,27.650000,27.670000,26.910000,27.330000,27.007391,251300
2019-12-18,27.520000,27.520000,26.850000,27.200001,26.878927,84500
2019-12-19,27.230000,27.230000,26.549999,26.740000,26.424356,82600
2019-12-20,26.670000,26.790001,26.209999,26.360001,26.048841,172600
2019-12-23,26.309999,26.389999,25.900000,26.219999,25.910494,78200
2019-12-24,26.230000,26.299999,26.070000,26.290001,25.979670,34800
2019-12-26,26.309999,26.309999,25.660000,25.780001,25.475689,44100
2019-12-27,25.790001,25.850000,25.570000,25.680000,25.376869,62500
2019-12-30,25.700001,25.850000,25.270000,25.730000,25.426279,68300
2019-12-31,25.690001,25.920000,25.520000,25.600000,25.297813,59700
2020-01-02,25.620001,25.620001,25.000000,25.270000,24.971710,74300
2020-01-03,25.059999,25.510000,25.000000,25.430000,25.129820,81800
2020-01-06,25.340000,25.730000,25.160000,25.690001,25.386751,77600
2020-01-07,25.709999,26.040001,25.270000,25.320000,25.021118,94400
2020-01-08,25.200001,25.320000,25.020000,25.280001,24.981592,66000
2020-01-09,25.209999,25.480000,25.049999,25.080000,24.783953,54700
2020-01-10,25.059999,25.219999,24.700001,25.200001,24.902534,60800
2020-01-13,25.150000,25.250000,25.000000,25.170000,24.872889,39100
2020-01-14,25.120001,25.360001,24.879999,25.309999,25.011236,47300
2020-01-15,25.240000,25.629999,25.230000,25.620001,25.317577,38500
2020-01-16,25.660000,26.110001,25.650000,25.740000,25.436161,105900
2020-01-17,25.990000,25.990000,25.410000,25.690001,25.386751,84000
2020-01-21,25.500000,25.629999,25.299999,25.480000,25.179228,187300
2020-01-22,25.520000,25.700001,24.900000,25.020000,24.724659,49300
2020-01-23,24.940001,24.940001,24.129999,24.450001,24.161388,69400
2020-01-24,24.610001,24.770000,24.230000,24.490000,24.200916,62700
2020-01-27,24.209999,24.650000,24.040001,24.420000,24.131742,40900
2020-01-28,24.500000,24.600000,24.330000,24.459999,24.171268,35200
2020-01-29,24.450001,24.459999,24.219999,24.270000,23.983513,39000
2020-01-30,24.090000,24.270000,23.820000,24.150000,23.864927,103200
2020-01-31,24.090000,24.110001,23.500000,23.670000,23.390594,86400
2020-02-03,23.809999,24.059999,23.760000,23.889999,23.607996,59000
2020-02-04,24.129999,24.530001,23.889999,24.360001,24.072451,89500
2020-02-05,24.570000,24.670000,23.830000,24.370001,24.082333,115700
2020-02-06,24.549999,24.660000,24.299999,24.549999,24.260206,51500
2020-02-07,24.400000,24.430000,23.740000,23.910000,23.700167,45500
2020-02-10,23.850000,24.559999,23.850000,24.530001,24.314724,58800
2020-02-11,24.559999,24.900000,24.430000,24.730000,24.512968,77800
2020-02-12,24.770000,24.770000,24.309999,24.410000,24.195778,52000
2020-02-13,24.520000,24.760000,24.379999,24.750000,24.532793,38500
2020-02-14,24.820000,24.820000,24.450001,24.549999,24.334549,63700
2020-02-18,24.549999,24.820000,24.410000,24.420000,24.205688,44300
2020-02-19,24.459999,25.459999,24.459999,25.000000,24.780600,153300
