YEAR,STATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2000,AMH307_Amherst,3.04,3.39,3.96,4.25,4.52,9.03,5.99,5.33,3.27,2.63,2.25,4.41
2003,AMH307_Amherst,3.02,8.18,4.89,3.78,4.86,6.16,2.89,6.82,10.35,5.42,3.65,4.92
2004,AMH307_Amherst,1.5,1.6,2.15,6.8,4.87,2.04,3.74,3.41,9.89,2.5,3.64,3.64
2005,AMH307_Amherst,4.45,3.82,5.52,5.02,2.65,6.73,4.76,4.6,2.22,18.7,5.22,3.21
2007,AMH307_Amherst,5.86,1.07,3.95,6.2,1.73,2.57,4.56,1.33,2.6,4.05,2.71,3.74
2008,AMH307_Amherst,1.58,8.34,4.97,2.32,2.21,5.76,11.55,3.85,9.98,3.32,3.49,4.85
2009,AMH307_Amherst,2.47,1.27,2.16,3.18,5.39,7.77,11.19,3.54,1.45,6.12,5.05,4.37
2010,AMH307_Amherst,2.4,3.9,7.07,0.95,2.56,4.15,2.46,4.68,4.38,6.4,4.33,1.94
2011,AMH307_Amherst,2.79,3.61,3.07,5.51,4.72,7.43,1.54,8.23,5.66,4.95,2.46,2.77
1992,ASFNWS_Ashfield,2.87,2.29,5.24,3.31,2.14,7.12,4.4,5.2,2.76,2.89,5.03,4.64
1993,ASFNWS_Ashfield,2.62,3.82,10.06,6.71,0.75,2.44,4.33,2.15,3.52,3.09,5.66,5.31
1994,ASFNWS_Ashfield,5.31,2.82,6.06,3.2,5.15,2.27,5.11,5.03,5.76,1.09,4.02,5.06
1997,ASFNWS_Ashfield,3.27,2.82,4.13,5.94,4.51,0.86,3.88,5.59,3.05,2.59,8.38,4.04
1998,ASFNWS_Ashfield,5.24,3.35,1.94,3.01,9.11,8.8,2.29,1.75,1.79,4.52,2.44,1.88
1999,ASFNWS_Ashfield,7.0,2.06,6.93,1.27,5.44,2.2,3.69,3.07,11.78,3.64,3.75,2.03
2000,ASFNWS_Ashfield,3.56,2.34,4.25,5.1,4.87,8.43,7.01,4.34,4.36,2.06,2.57,4.27
2001,ASFNWS_Ashfield,1.88,3.21,6.04,1.78,3.52,5.82,3.43,2.22,6.33,0.76,1.53,2.21
1931,BAR416_South Barre,1.93,2.14,3.99,2.04,5.04,3.99,3.36,8.03,2.61,2.91,1.37,3.14
1932,BAR416_South Barre,4.6,1.72,3.98,1.71,1.68,1.81,4.77,3.82,5.22,6.47,3.57,1.84
1933,BAR416_South Barre,1.85,3.41,3.89,4.65,2.11,1.98,2.57,4.89,9.31,4.9,0.99,1.71
1934,BAR416_South Barre,3.03,3.57,2.19,3.87,4.0,4.81,3.43,2.92,9.43,2.07,1.59,4.98
1935,BAR416_South Barre,4.72,2.99,2.22,2.74,3.08,5.4,3.74,1.1,4.53,1.11,2.7,1.32
1936,BAR416_South Barre,6.64,4.25,9.35,3.73,3.52,4.39,2.26,4.79,5.12,3.1,1.78,7.33
1937,BAR416_South Barre,5.33,2.32,3.04,4.17,4.28,4.91,2.26,5.73,3.78,3.58,5.84,2.84
1938,BAR416_South Barre,3.97,2.37,2.31,3.15,3.7,8.99,8.62,3.08,16.13,2.25,3.65,3.01
1939,BAR416_South Barre,1.94,3.15,3.21,3.62,2.19,2.96,1.35,3.7,2.1,4.56,0.91,3.37
1940,BAR416_South Barre,2.16,3.49,4.3,5.61,5.44,2.17,3.51,1.36,1.8,1.15,6.25,2.67
1941,BAR416_South Barre,2.55,2.14,1.82,0.49,2.62,3.19,5.38,2.47,0.93,2.0,2.77,3.03
1942,BAR416_South Barre,3.77,2.56,5.72,1.04,4.58,4.78,5.94,2.2,3.26,3.46,4.65,5.0
1943,BAR416_South Barre,3.13,1.48,3.32,3.95,5.14,1.55,3.8,2.46,1.08,6.0,6.21,0.57
1944,BAR416_South Barre,1.25,2.38,4.48,4.41,1.22,8.01,1.86,1.08,7.82,1.51,3.64,3.09
1945,BAR416_South Barre,3.73,3.98,2.02,5.4,5.58,6.5,4.93,3.25,1.9,2.8,4.08,4.08
1946,BAR416_South Barre,3.25,3.4,1.9,2.44,5.37,4.97,4.29,4.68,6.54,0.99,1.24,3.07
1947,BAR416_South Barre,2.95,2.37,2.27,4.35,2.59,3.15,5.28,0.68,2.44,0.7,6.42,3.36
1948,BAR416_South Barre,4.13,2.62,3.89,3.53,6.03,6.42,7.3,2.71,1.67,1.87,7.01,2.85
1949,BAR416_South Barre,4.11,3.4,1.99,3.12,4.4,0.78,2.64,4.35,2.98,2.34,2.26,3.63
1950,BAR416_South Barre,4.97,3.65,2.71,3.7,4.27,3.58,3.76,2.94,1.4,1.55,7.42,3.94
1951,BAR416_South Barre,3.79,4.99,4.42,3.18,5.49,2.77,5.65,6.41,2.27,5.38,7.32,4.34
1952,BAR416_South Barre,5.13,2.77,3.03,4.59,4.87,2.44,3.86,5.81,3.63,0.86,1.93,3.74
1953,BAR416_South Barre,6.18,2.81,7.88,7.73,4.2,2.48,2.09,1.02,1.46,5.56,4.3,5.15
1954,BAR416_South Barre,2.85,2.25,3.76,4.78,5.17,3.66,3.86,6.34,7.3,2.54,5.67,4.57
1955,BAR416_South Barre,1.01,3.72,4.08,3.78,2.44,4.66,2.71,16.17,2.95,8.43,5.22,0.75
1956,BAR416_South Barre,4.86,3.92,5.85,4.31,2.44,2.56,3.1,3.16,4.27,2.45,3.62,4.95
1957,BAR416_South Barre,2.42,1.45,2.37,3.36,4.04,5.14,0.98,2.01,1.73,2.15,5.52,6.56
1958,BAR416_South Barre,6.54,2.7,3.83,5.03,4.01,2.15,6.89,2.74,5.65,2.03,4.24,1.36
1959,BAR416_South Barre,4.13,2.68,4.58,4.58,0.57,4.61,6.39,5.44,1.54,7.19,5.07,4.32
1960,BAR416_South Barre,3.07,4.72,3.64,4.19,4.27,2.38,6.76,3.22,6.34,4.15,3.23,3.14
1961,BAR416_South Barre,2.35,2.87,3.79,4.82,3.22,4.65,5.45,2.58,4.08,2.24,4.35,3.67
1962,BAR416_South Barre,3.21,4.37,2.84,2.61,3.7,2.88,2.37,2.92,3.12,6.93,2.62,3.22
1963,BAR416_South Barre,3.18,3.23,3.89,1.8,2.41,4.26,1.83,2.7,3.74,0.94,6.26,2.69
1964,BAR416_South Barre,4.48,2.43,3.87,3.42,1.28,2.37,2.95,2.05,0.99,1.94,2.56,4.66
1965,BAR416_South Barre,1.87,3.25,2.13,2.96,1.46,2.93,1.67,2.28,2.26,2.82,2.77,2.15
1966,BAR416_South Barre,3.44,3.64,2.34,1.44,3.5,2.15,4.18,0.93,4.57,4.32,4.27,2.08
1967,BAR416_South Barre,1.34,3.27,3.21,4.67,6.62,3.47,5.51,3.85,3.0,1.6,3.03,5.67
1968,BAR416_South Barre,2.21,1.53,5.04,1.58,4.69,4.77,0.66,1.17,1.5,1.8,4.72,5.4
1969,BAR416_South Barre,0.92,3.7,2.31,4.39,2.94,2.34,4.21,3.89,4.7,1.8,5.36,6.51
1970,BAR416_South Barre,1.05,4.5,3.57,3.26,3.49,4.87,1.35,5.39,2.98,2.37,3.44,3.97
1971,BAR416_South Barre,2.16,3.81,1.8,1.57,3.31,2.91,3.68,5.51,2.91,2.67,4.12,3.12
1972,BAR416_South Barre,2.36,4.48,6.23,4.19,7.06,5.57,4.62,3.07,2.39,2.51,7.15,6.79
1973,BAR416_South Barre,3.22,2.42,3.79,4.99,4.53,5.67,3.34,2.66,2.5,2.98,2.25,8.43
1974,BAR416_South Barre,3.44,2.18,4.07,3.05,4.46,2.29,2.67,2.66,9.59,2.45,2.94,4.61
1975,BAR416_South Barre,4.16,3.17,2.76,2.11,2.03,4.77,6.03,5.08,8.43,5.57,5.26,3.1
1976,BAR416_South Barre,1.91,3.23,2.73,3.0,4.09,2.62,1.97,5.69,1.67,5.17,0.61,2.99
1977,BAR416_South Barre,2.28,1.88,5.46,4.76,2.79,3.31,3.22,5.17,5.63,5.66,3.97,3.78
1978,BAR416_South Barre,7.45,0.82,2.22,2.03,2.68,4.92,2.77,5.7,1.02,3.38,1.86,3.68
1979,BAR416_South Barre,11.05,2.58,4.4,4.53,3.57,0.93,5.95,8.98,4.13,4.42,3.6,2.04
1980,BAR416_South Barre,0.82,0.84,6.98,4.25,2.61,3.67,3.21,2.18,2.0,3.36,3.68,0.88
1981,BAR416_South Barre,0.66,7.78,0.61,3.6,3.23,3.28,5.63,1.15,4.91,5.65,2.7,5.38
1982,BAR416_South Barre,5.35,2.39,3.71,4.17,2.39,9.95,4.92,3.28,1.74,2.92,3.89,1.71
1983,BAR416_South Barre,4.7,3.28,5.16,6.65,5.7,2.02,1.98,4.56,1.81,4.82,6.7,5.2
1984,BAR416_South Barre,2.47,5.27,3.86,3.32,11.57,2.29,4.93,1.15,1.44,3.72,2.4,2.57
1985,BAR416_South Barre,1.1,2.09,3.33,0.99,4.3,2.99,4.89,5.31,3.19,2.81,5.03,1.32
1986,BAR416_South Barre,4.98,3.12,3.07,1.62,2.02,6.14,4.1,2.13,1.43,2.5,4.47,4.42
1987,BAR416_South Barre,4.51,0.45,3.59,5.68,1.25,2.82,3.96,3.83,5.96,3.6,2.57,1.43
1988,BAR416_South Barre,2.37,2.84,3.65,3.52,3.22,1.96,6.23,3.61,2.28,2.63,6.5,1.2
1989,BAR416_South Barre,1.32,2.63,2.57,3.43,7.63,4.51,3.89,5.84,6.52,6.7,3.22,1.07
1990,BAR416_South Barre,3.02,4.59,2.0,3.64,7.17,1.69,1.33,10.38,1.75,7.48,2.1,5.28
1991,BAR416_South Barre,2.94,1.84,3.85,3.42,4.67,2.77,2.63,9.35,6.52,2.47,4.56,3.52
1992,BAR416_South Barre,1.97,2.07,3.59,3.55,3.87,3.76,3.93,6.67,2.11,3.37,5.62,3.43
1993,BAR416_South Barre,2.7,1.85,4.73,3.49,2.16,3.76,3.58,2.52,6.17,4.32,3.99,4.41
1994,BAR416_South Barre,4.39,1.62,5.35,2.69,3.45,3.06,6.35,6.12,3.09,1.0,2.79,4.92
1995,BAR416_South Barre,2.81,2.89,1.73,2.2,2.61,3.48,2.44,1.71,3.16,8.89,4.66,1.64
1996,BAR416_South Barre,6.19,2.8,2.83,7.54,3.15,3.47,8.22,1.21,6.16,4.99,4.02,7.96
1998,BAR416_South Barre,4.79,2.24,4.91,2.9,4.9,6.87,1.73,1.29,2.06,4.6,2.13,1.47
1999,BAR416_South Barre,6.17,3.2,4.14,0.68,2.46,2.14,2.49,3.83,10.45,3.73,2.79,1.98
1993,BAR916_Osterville,1.91,3.8,6.79,7.21,3.9,1.14,2.59,0.28,3.31,5.41,3.41,8.51
1994,BAR916_Osterville,5.02,6.94,7.82,3.61,5.27,3.4,2.12,5.09,3.29,1.97,3.76,5.78
1995,BAR916_Osterville,2.07,3.19,1.62,2.88,3.76,4.11,2.8,2.59,2.89,4.73,7.28,2.38
1996,BAR916_Osterville,5.26,3.43,4.22,6.46,2.33,3.1,3.64,4.29,12.99,10.76,1.73,5.27
1998,BAR916_Osterville,7.54,6.24,5.81,5.12,3.27,10.14,1.5,4.42,3.57,4.06,3.21,1.19
1999,BAR916_Osterville,4.79,4.45,5.02,1.61,4.58,0.25,1.49,6.4,3.98,5.3,2.65,5.14
2001,BAR916_Osterville,3.35,3.19,6.54,2.45,4.09,3.53,3.97,3.76,3.14,1.47,1.24,4.15
2002,BAR916_Osterville,5.23,2.07,6.59,2.99,4.75,3.53,0.53,1.93,5.77,3.11,7.46,6.41
2003,BAR916_Osterville,2.67,3.32,6.99,4.36,2.67,6.26,1.0,4.61,2.78,6.34,3.64,5.83
2007,BAR916_Osterville,6.38,1.55,7.88,11.55,2.907,1.58,3.43,1.03,2.11,2.86,6.35,4.79
2008,BAR916_Osterville,244.0,5.64,5.03,4.44,4.47,3.17,4.27,1.95,5.48,2.51,3.89,3.94
2009,BAR916_Osterville,5.62,1.84,3.77,6.56,3.73,5.37,6.36,4.92,4.18,9.04,2.25,7.22
2010,BAR916_Osterville,1.79,7.24,9.76,1.85,3.37,3.3,2.66,3.92,5.45,7.19,5.18,2.96
2011,BAR916_Osterville,3.59,6.87,1.95,8.79,2.59,4.29,4.72,5.1,6.77,6.68,4.17,2.08
2012,BAR916_Osterville,5.35,2.94,1.84,1.74,6.3,4.1,5.14,3.11,6.29,3.26,4.18,6.01
2013,BAR916_Osterville,0.71,5.48,5.24,4.13,4.34,10.45,2.15,2.47,2.63,0.95,5.49,4.25
2014,BAR916_Osterville,4.18,5.2,1.41,5.52,2.04,2.42,5.55,1.48,1.46,5.36,7.63,5.71
2018,BAR916_Osterville,7.0,7.87,6.18,6.27,2.36,3.49,0.82,4.05,3.57,5.78,9.38,4.41
1994,BAR917_West Barnstable,5.77,3.36,8.34,3.28,4.59,2.91,1.66,3.61,2.71,1.47,4.53,5.8
1995,BAR917_West Barnstable,2.61,3.29,2.34,3.15,3.79,3.33,3.04,1.75,3.26,5.7,8.28,2.76
1996,BAR917_West Barnstable,5.04,3.27,4.49,6.15,2.64,1.4,3.46,3.82,12.91,10.24,1.93,5.46
1997,BAR917_West Barnstable,2.93,2.5,8.39,3.16,4.52,1.11,3.84,5.73,2.43,2.4,6.72,3.15
1998,BAR917_West Barnstable,7.26,6.29,5.94,4.7,3.82,9.79,1.75,4.53,3.84,4.08,2.0,1.73
1999,BAR917_West Barnstable,4.22,4.45,4.51,1.05,4.88,0.47,1.65,5.41,3.5,8.38,3.06,2.99
2000,BAR917_West Barnstable,4.05,4.03,3.74,6.29,4.09,1.92,4.01,3.98,2.14,3.25,3.11,3.6
2001,BAR917_West Barnstable,3.22,2.44,9.09,2.48,3.27,3.47,4.19,5.1,3.48,1.56,1.19,3.21
2002,BAR917_West Barnstable,4.55,1.98,6.12,3.12,5.33,3.07,1.13,2.34,7.03,3.09,7.72,7.62
2003,BAR917_West Barnstable,3.56,6.65,7.48,5.42,4.09,5.36,1.28,4.74,2.88,5.34,2.25,7.36
2004,BAR917_West Barnstable,2.63,2.64,3.01,6.07,2.89,2.72,3.42,7.62,6.86,1.49,5.07,6.17
1985,BARCOE_Hubbardston,1.12,2.16,2.83,1.85,4.13,3.77,2.6,9.47,3.37,3.27,5.53,1.39
1986,BARCOE_Hubbardston,5.12,2.65,3.99,1.78,2.12,7.42,4.02,2.21,1.24,2.84,4.82,4.8
1987,BARCOE_Hubbardston,3.65,0.11,2.21,10.3,0.98,4.03,1.5,3.79,4.63,4.93,2.26,2.1
1988,BARCOE_Hubbardston,2.13,2.46,2.15,3.64,3.37,1.86,6.41,4.65,2.38,3.05,6.47,1.49
1989,BARCOE_Hubbardston,1.66,2.68,2.37,4.08,7.4,4.29,6.03,6.88,6.66,5.98,3.83,0.96
1990,BARCOE_Hubbardston,4.11,4.59,1.68,3.67,7.65,2.13,1.93,10.71,1.52,7.74,2.16,5.46
1991,BARCOE_Hubbardston,2.54,1.91,3.87,2.32,6.18,2.8,3.41,9.28,6.9,2.5,4.42,3.41
1992,BARCOE_Hubbardston,2.11,2.14,3.56,2.36,2.5,3.67,3.48,7.54,1.91,2.45,5.77,3.83
1993,BARCOE_Hubbardston,2.49,1.84,4.34,3.75,1.09,2.48,3.77,3.77,5.67,4.56,4.5,4.62
1994,BARCOE_Hubbardston,4.37,1.42,5.24,2.92,4.23,2.19,5.01,6.1,3.68,1.07,3.06,5.15
1996,BARCOE_Hubbardston,6.22,2.99,2.39,7.44,3.63,4.05,6.81,1.18,6.41,6.52,3.68,7.35
1997,BARCOE_Hubbardston,3.69,2.07,3.95,4.84,3.05,1.15,5.88,5.15,1.33,2.1,5.78,3.09
1998,BARCOE_Hubbardston,5.31,2.59,5.58,3.38,4.0,8.24,2.52,1.53,2.47,5.19,2.19,1.19
1999,BARCOE_Hubbardston,6.73,2.62,4.52,1.08,3.02,1.58,2.6,3.24,8.2,4.38,2.94,2.19
2000,BARCOE_Hubbardston,2.82,3.31,4.26,6.88,4.22,6.51,4.84,3.54,3.91,2.47,2.88,4.11
2001,BARCOE_Hubbardston,1.91,2.87,5.63,1.37,2.28,7.87,2.92,2.29,3.71,0.85,1.68,2.95
2002,BARCOE_Hubbardston,2.14,2.08,3.57,3.71,4.77,4.79,1.68,2.16,3.94,3.27,4.57,4.29
2003,BARCOE_Hubbardston,2.96,4.1,3.98,3.56,4.1,6.18,1.31,6.8,5.56,5.53,1.98,5.75
2005,BARCOE_Hubbardston,4.91,2.68,4.75,5.11,3.87,2.27,4.34,2.06,2.78,14.57,4.87,3.9
2007,BARCOE_Hubbardston,3.6,1.92,4.45,6.46,3.61,2.28,5.84,2.67,2.82,3.81,3.54,4.2
2008,BARCOE_Hubbardston,2.81,11.05,4.63,4.35,2.26,5.46,6.06,3.25,7.15,2.19,3.12,6.7
2009,BARCOE_Hubbardston,2.81,11.05,4.63,4.35,2.26,5.46,7.43,5.06,1.37,5.0,2.87,3.67
2010,BARCOE_Hubbardston,3.54,4.23,8.39,1.16,2.2,5.76,3.76,3.06,1.94,7.56,4.02,3.62
2011,BARCOE_Hubbardston,2.99,4.16,4.59,4.84,4.0,5.93,2.31,10.52,7.7,5.09,3.91,4.75
2012,BARCOE_Hubbardston,3.08,0.8,1.57,2.74,4.34,4.0,2.14,5.96,5.19,4.11,0.71,4.15
2013,BARCOE_Hubbardston,1.86,3.43,2.4,2.14,5.09,8.84,4.73,3.98,3.61,1.24,3.3,3.41
2014,BARCOE_Hubbardston,2.65,3.33,4.72,3.96,5.51,1.88,5.76,3.3,3.32,8.26,3.51,4.34
1992,BEDNWS_Bedford,2.94,2.34,3.82,2.68,2.01,4.47,4.4,4.92,2.99,2.38,4.7,6.86
1993,BEDNWS_Bedford,2.29,4.08,7.6,4.82,1.26,1.68,2.5,2.67,5.86,3.93,3.72,5.63
1994,BEDNWS_Bedford,4.83,2.57,6.64,2.03,5.87,1.14,2.28,4.87,6.33,0.58,4.61,5.25
1995,BEDNWS_Bedford,4.18,3.22,2.44,2.45,2.81,1.93,3.92,0.91,3.16,6.76,6.09,2.87
1997,BEDNWS_Bedford,2.73,2.19,5.36,5.96,2.59,0.87,2.1,3.83,1.62,2.02,6.58,3.67
1998,BEDNWS_Bedford,6.18,4.34,5.13,3.45,6.76,12.69,3.83,2.24,1.74,5.61,2.06,1.59
1999,BEDNWS_Bedford,6.37,4.25,3.84,0.81,2.95,0.19,2.93,1.62,10.16,4.02,2.7,2.21
2000,BEDNWS_Bedford,3.42,3.77,4.1,6.16,3.29,4.74,3.95,2.09,3.07,3.25,4.77,5.17
2001,BEDNWS_Bedford,2.46,2.79,11.49,1.19,2.12,8.0,3.09,4.96,1.66,1.09,0.98,3.23
2002,BEDNWS_Bedford,3.72,2.66,4.11,3.68,7.26,3.92,2.78,2.29,3.54,4.37,6.21,6.46
2003,BEDNWS_Bedford,2.53,4.21,4.45,4.08,4.41,5.95,2.04,6.94,3.45,5.66,2.36,5.6
1940,BEL314_Belchertown,1.91,2.08,4.45,6.23,4.84,1.8,3.96,2.06,2.34,1.52,6.98,2.31
1941,BEL314_Belchertown,1.91,1.57,1.3,0.87,2.67,3.4,6.65,4.07,1.21,2.55,3.56,2.9
1942,BEL314_Belchertown,3.5,1.33,5.08,1.29,3.34,4.71,4.98,1.72,4.29,4.37,7.32,5.62
1943,BEL314_Belchertown,2.79,1.61,3.34,3.11,6.21,3.12,7.03,3.9,1.44,4.19,6.49,0.76
1944,BEL314_Belchertown,1.05,1.88,4.28,4.81,1.4,7.92,1.72,1.58,7.08,2.53,5.12,3.03
1945,BEL314_Belchertown,2.58,3.49,1.88,5.25,6.3,6.81,7.89,3.14,1.74,2.35,4.12,5.16
1946,BEL314_Belchertown,3.28,3.66,1.68,2.16,5.75,4.59,4.5,4.7,3.24,0.81,1.03,3.03
1947,BEL314_Belchertown,3.17,2.79,2.86,5.35,2.77,3.06,5.09,1.79,2.14,2.05,5.35,3.0
1948,BEL314_Belchertown,3.47,2.48,3.87,3.38,4.84,7.45,4.23,2.83,2.2,1.22,6.58,2.7
1949,BEL314_Belchertown,5.15,3.11,1.47,2.57,5.39,1.1,4.44,3.25,2.32,2.55,2.2,3.85
1950,BEL314_Belchertown,4.42,4.1,2.76,3.8,3.01,4.57,2.97,3.08,1.29,1.95,5.52,3.83
1951,BEL314_Belchertown,3.82,3.84,5.12,3.02,3.62,3.85,3.41,4.81,2.01,5.54,6.1,4.59
1952,BEL314_Belchertown,4.66,1.96,3.09,5.84,4.93,3.38,5.8,5.92,4.67,0.73,0.93,3.28
1953,BEL314_Belchertown,6.55,3.05,7.58,7.68,5.01,2.21,2.02,1.27,1.71,6.33,2.93,5.18
1954,BEL314_Belchertown,2.71,1.95,3.89,4.66,4.63,3.18,4.35,6.11,6.34,2.27,5.54,3.4
1955,BEL314_Belchertown,1.04,3.96,4.54,4.61,2.45,4.31,3.16,22.96,3.42,8.61,4.86,0.84
1956,BEL314_Belchertown,2.97,4.22,6.33,4.48,2.28,3.42,3.4,1.63,6.14,2.19,3.77,5.74
1957,BEL314_Belchertown,2.36,1.44,2.32,3.55,3.24,3.08,2.3,1.88,2.45,2.06,4.96,6.68
1958,BEL314_Belchertown,5.12,2.71,3.03,5.37,4.17,2.75,7.27,4.42,6.38,2.99,3.88,1.38
1959,BEL314_Belchertown,3.65,3.02,5.09,4.52,0.9,4.73,5.15,6.68,1.57,8.76,5.55,4.63
1960,BEL314_Belchertown,3.44,3.9,3.41,4.4,4.85,4.95,6.34,3.09,6.37,4.03,2.88,2.9
1961,BEL314_Belchertown,2.71,3.33,4.27,4.11,3.74,3.74,3.82,3.4,3.54,1.96,4.07,3.06
1962,BEL314_Belchertown,3.5,4.72,2.07,2.2,3.24,2.33,2.72,3.21,3.32,5.4,2.48,2.95
1963,BEL314_Belchertown,3.22,3.38,3.76,2.16,2.74,3.91,2.1,6.52,4.4,0.56,6.35,2.54
1964,BEL314_Belchertown,3.74,2.39,3.53,3.6,1.77,1.24,3.42,2.5,1.3,1.9,1.97,4.21
1965,BEL314_Belchertown,2.47,2.67,1.64,2.88,1.35,3.79,1.98,2.23,2.62,2.94,3.35,1.78
1966,BEL314_Belchertown,2.86,3.36,2.47,1.68,3.48,2.28,4.2,0.89,5.66,3.64,3.77,2.37
1967,BEL314_Belchertown,1.44,3.55,4.3,4.05,6.31,3.8,4.16,2.83,3.13,1.93,3.14,6.25
1968,BEL314_Belchertown,2.1,0.7,4.97,1.73,3.82,7.96,0.96,2.26,1.47,2.39,6.03,5.53
1969,BEL314_Belchertown,1.02,3.41,2.01,5.25,2.97,2.95,3.72,5.36,4.05,2.01,5.23,6.6
1970,BEL314_Belchertown,1.0,4.84,4.31,3.79,3.74,3.38,3.56,5.38,2.62,2.45,3.5,3.38
1971,BEL314_Belchertown,2.2,3.9,2.5,1.72,3.58,2.65,6.01,7.49,3.72,3.01,4.34,3.46
1972,BEL314_Belchertown,1.98,3.84,5.95,4.74,7.17,6.92,5.13,2.64,1.68,3.19,7.24,7.4
1973,BEL314_Belchertown,3.93,2.44,4.08,5.88,6.15,6.13,3.73,2.39,2.54,2.66,2.12,8.19
1974,BEL314_Belchertown,3.79,2.76,4.69,3.25,4.51,2.47,4.59,3.36,10.26,2.75,3.2,3.8
1975,BEL314_Belchertown,5.15,3.9,3.02,1.69,2.58,4.33,9.24,5.09,8.36,5.7,5.83,4.07
1976,BEL314_Belchertown,6.99,3.38,4.06,3.28,4.52,3.42,4.18,5.75,1.96,1.45,1.14,2.87
1977,BEL314_Belchertown,2.89,2.11,5.88,4.11,3.35,3.91,3.82,4.58,7.45,6.06,4.08,3.77
1978,BEL314_Belchertown,8.88,1.89,2.62,1.56,3.21,5.61,2.67,6.49,1.07,3.12,2.17,4.26
1979,BEL314_Belchertown,10.21,2.67,4.54,6.46,4.07,2.01,4.19,7.36,4.69,5.18,4.44,2.77
1980,BEL314_Belchertown,0.82,0.83,6.66,4.54,2.12,2.67,2.68,2.66,2.67,2.61,3.21,1.04
1981,BEL314_Belchertown,0.7,7.03,0.55,4.02,3.43,3.27,4.16,1.87,4.11,5.65,2.29,4.98
1982,BEL314_Belchertown,4.49,2.57,3.51,5.92,2.97,9.62,4.31,4.08,2.32,2.71,3.97,1.61
1983,BEL314_Belchertown,4.92,3.91,5.81,9.11,6.29,2.43,2.68,4.45,2.19,3.97,6.76,4.89
1984,BEL314_Belchertown,1.98,5.11,4.29,3.53,13.01,2.45,6.04,1.46,1.84,4.23,3.22,2.68
1985,BEL314_Belchertown,1.06,2.26,3.35,1.26,6.26,3.61,9.45,5.94,2.66,2.67,6.03,1.38
1986,BEL314_Belchertown,4.98,3.15,2.85,1.57,3.15,7.69,5.76,1.77,1.41,2.86,4.91,4.1
1987,BEL314_Belchertown,4.46,0.48,3.94,5.65,1.23,3.32,0.84,4.72,7.14,3.94,3.92,1.37
1988,BEL314_Belchertown,2.39,3.72,2.41,3.59,3.26,2.47,9.11,3.95,2.12,2.25,7.11,1.04
1989,BEL314_Belchertown,1.33,2.59,2.62,3.64,9.92,6.66,4.73,6.76,7.39,7.49,3.64,1.25
1990,BEL314_Belchertown,3.82,4.02,2.57,4.06,7.37,2.49,2.02,9.94,1.92,6.79,2.36,5.74
1991,BEL314_Belchertown,2.85,2.17,4.87,3.47,6.62,2.58,2.35,8.3,7.73,2.55,4.25,3.98
1992,BEL314_Belchertown,1.95,2.11,3.36,2.75,3.16,3.97,4.59,5.7,2.41,2.41,5.59,4.79
1993,BEL314_Belchertown,2.54,2.21,6.43,3.28,2.0,1.68,3.85,1.94,7.01,4.48,3.73,4.28
1994,BEL314_Belchertown,5.23,2.44,5.86,3.14,3.72,2.77,5.61,7.84,3.81,1.44,3.92,5.07
1995,BEL314_Belchertown,3.67,3.08,1.81,2.24,3.08,2.41,3.63,4.53,3.57,11.08,4.1,1.78
1996,BEL314_Belchertown,6.09,2.31,2.46,8.8,4.08,4.01,6.85,1.04,7.27,5.72,4.13,7.67
1997,BEL314_Belchertown,3.7,2.05,6.21,2.59,3.26,3.29,5.12,5.52,0.86,2.23,6.75,2.22
1998,BEL314_Belchertown,5.19,2.64,5.55,3.18,5.44,5.79,1.69,1.49,3.38,4.92,2.72,1.39
1999,BEL314_Belchertown,6.42,3.76,3.74,1.05,3.1,2.35,1.92,4.35,11.55,4.3,3.06,2.51
2000,BEL314_Belchertown,3.23,3.34,4.1,5.36,4.08,8.43,5.03,7.84,3.36,1.98,2.73,3.52
2001,BEL314_Belchertown,1.75,3.65,6.65,1.75,2.65,6.4,2.63,6.11,3.31,1.01,1.07,2.89
2002,BEL314_Belchertown,2.28,2.18,4.05,2.82,4.48,3.82,2.54,2.87,4.74,4.14,5.21,4.7
2003,BEL314_Belchertown,3.31,4.08,4.16,3.1,5.99,6.92,1.96,5.13,6.67,4.75,2.75,4.46
2004,BEL314_Belchertown,1.85,1.6,3.4,4.96,3.82,1.6,2.93,4.88,8.47,2.23,2.87,3.75
2005,BEL314_Belchertown,4.84,2.88,4.24,5.88,2.3,2.8,2.87,3.14,2.29,15.77,4.65,3.95
2006,BEL314_Belchertown,5.87,2.76,0.66,2.08,5.41,7.13,2.62,4.66,2.49,5.46,4.05,2.06
2007,BEL314_Belchertown,2.95,2.09,4.93,6.2,2.67,3.12,5.94,1.99,2.09,4.84,3.4,4.21
2008,BEL314_Belchertown,2.65,9.66,4.18,4.33,2.38,5.02,9.83,4.36,9.99,2.67,2.64,7.69
2009,BEL314_Belchertown,3.92,1.42,2.87,3.26,4.35,5.03,10.94,6.16,0.99,5.47,2.41,3.64
2010,BEL314_Belchertown,2.5,3.68,6.06,0.98,2.74,3.6,3.75,4.31,1.13,6.89,3.59,2.49
2011,BEL314_Belchertown,2.93,3.88,4.33,5.06,5.15,4.97,2.46,11.3,7.87,6.98,3.9,4.45
